title,imdbid,year,rating,BUDGET,passed,adj_budget
House of Wax,397065,2005,2,40000000.0,False,59939580.13312851
Monster-in-Law,369735,2005,0,43000000.0,False,64435048.643113144
Elektra,357277,2005,3,43000000.0,True,64435048.643113144
Chicken Little,371606,2005,1,150000000.0,False,224773425.4992319
Wolf Creek,416315,2005,3,1000000.0,True,1498489.503328213
Four Brothers,430105,2005,1,45000000.0,False,67432027.64976957
Cry_Wolf,384286,2005,3,1000000.0,True,1498489.503328213
"Producers, The",395251,2005,0,45000000.0,False,67432027.64976957
Twitches,467421,2005,1,20000000.0,False,29969790.066564254
Where the Truth Lies,373450,2005,3,25000000.0,True,37462237.58320532
Stay,371257,2005,1,50000000.0,False,74924475.16641064
"Quiet, The",414951,2005,3,900000.0,True,1348640.5529953914
Say Uncle,401385,2005,2,650000.0,False,974018.1771633383
Elizabethtown,368709,2005,3,57000000.0,True,85413901.68970813
Wallace &amp; Gromit: The Curse of the Were-Rabbit,312004,2005,1,30000000.0,False,44954685.099846385
Survival Island,377309,2005,2,9000000.0,False,13486405.529953914
"Family Stone, The",356680,2005,3,19000000.0,True,28471300.56323604
Cheaper by the Dozen 2,452598,2005,2,60000000.0,False,89909370.19969277
THE MATADOR,365485,2005,1,10000000.0,False,14984895.033282127
Nanny McPhee,396752,2005,0,25000000.0,False,37462237.58320532
Idiocracy,387808,2006,1,30000000.0,False,43549851.190476194
"Devil Wears Prada, The",458352,2006,3,35000000.0,True,50808159.72222222
Pirates of the Caribbean: Dead Man&#39;s Chest,383574,2006,2,200000000.0,False,290332341.26984125
Penelope,472160,2006,3,15000000.0,True,21774925.595238097
"Pursuit of Happyness, The",454921,2006,0,55000000.0,False,79841393.84920634
"Holiday, The",457939,2006,3,85000000.0,True,123391245.03968252
Casino Royale,381061,2006,1,150000000.0,False,217749255.95238093
Crank,479884,2006,0,12000000.0,False,17419940.476190474
Marie Antoinette,422720,2006,3,40000000.0,True,58066468.25396825
X-Men: The Last Stand,376994,2006,3,210000000.0,True,304848958.3333333
Children of Men,206634,2006,3,76000000.0,True,110326289.68253967
Volver,441909,2006,3,12899867.0,True,18726242.940897815
Bandidas,416496,2006,3,35000000.0,True,50808159.72222222
Night at the Museum,477347,2006,3,110000000.0,True,159682787.6984127
El laberinto del fauno (Pan's Labyrinth),457430,2006,3,19000000.0,True,27581572.420634918
Little Children,404203,2006,3,26000000.0,True,37743204.36507936
Once,907657,2006,2,160000.0,False,232265.873015873
Stranger Than Fiction,420223,2006,3,30000000.0,True,43549851.190476194
Akeelah and the Bee,437800,2006,3,8000000.0,True,11613293.650793651
She&#39;s the Man,454945,2006,3,20000000.0,True,29033234.126984123
Little Miss Sunshine,449059,2006,3,8000000.0,True,11613293.650793651
"Wind That Shakes the Barley, The",460989,2006,1,6500000.0,False,9435801.09126984
Das Leben Der Anderen,405094,2006,0,2000000.0,False,2903323.412698413
Silent Hill,384537,2006,3,50000000.0,True,72583085.31746031
Zwartboek,389557,2006,3,21000000.0,True,30484895.83333333
"Illusionist, The",443543,2006,0,16500000.0,False,23952418.154761907
Man of the Year,483726,2006,1,20000000.0,False,29033234.126984123
Last Holiday,408985,2006,3,45000000.0,True,65324776.785714276
"You, Me and Dupree",463034,2006,1,54000000.0,False,78389732.14285713
Kidulthood,435680,2006,3,994000.0,True,1442951.7361111112
Jackass Number Two,493430,2006,1,11000000.0,False,15968278.769841269
"Departed, The",407887,2006,1,90000000.0,False,130649553.57142855
300,416449,2006,0,65000000.0,False,94358010.91269842
Friends with Money,436331,2006,3,6500000.0,True,9435801.09126984
Lucky Number Slevin,425210,2006,1,27000000.0,False,39194866.07142857
Eragon,449010,2006,1,100000000.0,False,145166170.63492063
Shortbus,367027,2006,3,2000000.0,True,2903323.412698413
Ice Age: The Meltdown,438097,2006,1,80000000.0,False,116132936.5079365
A Few Days in September,446442,2006,3,10000000.0,True,14516617.063492062
